OBJECTID,DescSeg,TipoPNV,CODIGO
1,ENTR BR-365 - ENTR BR-050 (CONTORNO OESTE DE UBERLÂNDIA),Planejada,050BMG9150
2,ENTR BR-153(A) (DIV GO/MG) - ENTR BR-153(B) (ARAPORÃ),Em obras de duplicação,452BMG0110
3,ENTR BR-122(B)/BA-245 (P/BONINAL) - ENTR BR-242(B),Pavimentada,349BBA0380
4,BARRA DO MENDES - ENTR. BR-242,Leito Natural,148EBA0000
5,FIM DO PERÍMETRO URB CERES - ENTR GO-154(B)/434(A),Leito Natural,251BGO0870
6,ENTR GO-154(A) (CERES) - FIM DO PERÍMETRO URB CERES,Pavimentada,251BGO0865
7,ENTR BR-153/GO-480(B) (RIALMA) - ENTR GO-154(A) (CERES),Pavimentada,251BGO0860
8,"KM 800,4 - INÍCIO DA PAVIMENTAÇÃO",Em obras de pavimentação,251BMG0410
9,INÍCIO DA PAVIMENTAÇÃO - ENTR MG-188(A) (CANGALHA),Pavimentada,251BMG0420
10,"ENTR MG-181 (BOQUEIRÃO) - KM 800,4",Leito Natural,251BMG0390
11,RIBEIRAO MAMONEIRA - ENTR. BR-251,Implantada,662LMG0060
12,ENTR. LMG-664 (P/BONFINOPOLIS DE MINAS) - NATALANDIA,Implantada,662LMG0020
13,NATALANDIA - RIBEIRAO MAMONEIRA,Implantada,662LMG0040
14,BRASILANDIA - ENTR. MG-408,Pavimentada,181EMG0380
15,ENTR. BR-251 (BOQUEIRAO) - ENTR. P/GADO BRAVO),Implantada,181EMG0340
16,ENTR BR-452(B) (ARAPORÃ) - ENTR MG-226 (P/CANÁPOLIS),Em obras de duplicação,153BMG0800
17,ENTR BR-452(A) (DIV GO/MG) - ENTR BR-452(B) (ARAPORÃ),Em obras de duplicação,153BMG0790
18,ENTR BR-497 - ENTR BR-365 (CONTORNO OESTE DE UBERLÂNDIA),Planejada,050BMG9100
19,ENTR RJ-071/081 (LINHA VERMELHA) - ENTR BR-040(B)/101(A) (TREVO DAS MISSÕES),Duplicada,116BRJ1760
20,ENTR MG-111 (IPANEMA) - FIM DO TRECHO PAVIMENTADO,Pavimentada,474BMG0035
21,FIM DO TRECHO PAVIMENTADO - ACESSO SANTO ANTÔNIO DO MANHUAÇU,Em obras de pavimentação,474BMG0040
22,CONCEIÇÃO DO CAPIM - EXPEDICIONÁRIO ALÍCIO,Pavimentada,474BMG0012
23,ENTR BR-393(A) - DIV MG/RJ (ALÉM PARAÍBA),Pavimentada,116BMG1465
24,BONFINÓPOLIS DE MINAS - RIBEIRÃO CANASTRA,Implantada,181EMG0300
25,ENTR. BA-526 (AC. A ARATU) - ENTR. BR-324,Pavimentada,528EBA0005
26,ENTR MG-405 (JACINTO) - ENTR MG-406 (ALMENARA),Pavimentada,367BMG0080
27,ENTR ES-391 (CONCEIÇÃO DO MUQUI) - ENTR ES-494,Leito Natural,393BES0060
28,ENTR BR-484(A)/ES-185 (GUAÇUÍ) - ENTR BR-484(B),Pavimentada,482BES0120
